title,id,year,vote_average,vote_count
Quest for Fire,62204,1981,,
"10,000 BC",7840,2008,,
Slaves of Babylon,350806,1953,,
The Egyptian,24973,1954,,
The Queen of Babylon,223168,1954,,
Land of the Pharaohs,42564,1955,,
The Pharaohs' Woman,330623,1960,,
"Nefertite, regina del Nilo",77971,1961,,
War Gods of Babylon,256724,1962,,
Cleopatra,8095,1963,,
The Ten Commandments,6844,1956,,
Alexander the Great,42668,1968,,
Sparticus,967,1956,,
Julius Caesar,18019,1953,,
David and Bathsheba,42567,1951,,
Solomon and Sheba,29996,1959,,
Hannibal,169818,1959,,
The Colossus of Rhodes,43020,1961,,
Samson and Delilah,29993,1949,,
300,1271,2006,,
